ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0038912417,0.0018743126,0.004114528,0.0020858748,0.0013536016,0.0017606117,0.0005622714,0.0013825428,0.0036876274,0.0015059564,0.0008368875,0.004804398,0.0009042176,0.000953216,0.0013455213,0.0019423497,0.0017993108,0.001067051,0.0021267352,0.00022828122,0.00037767488
MSFT,0.002967468,0.004048758,0.0008965771,0.00264367,0.0002171888,0.0039525814,0.0008568379,0.000572052,0.0018988957,0.00072935136,0.0020330036,0.00080614927,0.00082757644,0.00089355087,0.0012989388,0.0015277016,0.0014191495,0.0013612971,0.00626538,0.0009570477,0.00018082402
NVDA,0.0025367746,0.008690913,0.005284885,0.001904944,0.004313954,0.0009488522,0.005839229,0.0006773431,0.005783106,0.00040711783,0.005248382,0.00047742517,0.0058521605,0.009119413,0.00039737584,0.0051966948,0.00025151944,0.0031505525,0.0040075,0.002116164,0.0045812908
AMZN,0.0033022384,0.00039562306,0.00066937786,0.010671028,0.0007005432,0.0036202124,0.0012486696,0.0025713819,0.00035934115,0.0016684127,0.0017720879,0.00032246075,0.0015310869,0.0014241011,0.0019478281,0.00083061866,0.0016723973,0.0018066256,0.0023530575,0.0025080764,0.00081885204
GOOG,0.0033801186,0.002454077,0.0010854,0.00627764,0.0041575623,0.0032418093,0.0006589886,0.0028502229,0.0002489579,0.0012129891,0.007655413,0.004751295,0.004758225,0.0016950351,0.0049210237,0.0019045915,0.0012305706,0.0014199425,0.002082831,0.00030741066,0.0056618694
META,0.0028131423,0.0010581637,0.00345235,0.00085115,0.0021833528,0.0027906545,0.00070788636,0.0012137516,0.00037529724,0.0014277444,0.0007322257,0.0016947514,0.0033441265,0.0004350937,0.0034717342,0.00058234786,0.0015074466,0.0012376481,0.00057724374,0.004253162,0.0011769305
BRK-B,0.0030231508,0.00081022806,0.00069922453,0.0018070795,0.0026240207,0.0005897453,0.00026391566,0.0004846988,0.00047871997,0.00096487935,0.001712268,0.00043037432,0.00080585043,0.00036759762,0.00068161293,0.0010492285,0.0013023828,0.0004387976,0.007839348,0.0006099818,0.0005532575
GOOGL,0.002479526,0.003356463,0.0032079935,0.0063196654,0.0022928,0.0013156908,0.0018697202,0.0013868534,0.0012155882,0.0058625448,0.008541006,0.0035229991,0.0020273065,0.0020785274,0.0035902953,0.00026889762,0.0018690244,0.00094685395,0.00037739385,0.000498995,0.0008423341
AVGO,0.0027024283,0.0028405364,0.0036104952,0.0012467966,0.00041869358,0.00076916185,0.004173989,0.000650799,0.009840479,0.0015383578,0.0035225956,0.0005536777,0.0024529311,0.0012261033,0.004926504,0.003097895,0.0013278065,0.0031767995,0.0022945486,0.0016018224,0.0029220048
TSLA,0.017705444,0.0017110824,0.0048735947,0.006018346,0.000900614,0.0056170463,0.002529518,0.0040753223,0.00091949967,0.0018093274,0.00071598147,0.0036428638,0.0016782556,0.0038549828,0.002438135,0.0036670486,0.001397068,0.0019381029,0.005082356,0.0019171515,0.00056909304
