ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0008799362,0.0017333053,0.0023532961,0.0009057064,0.00107237,0.0014977437,0.0021404363,0.0032621983,0.00045444022,0.002804697,0.008307688,0.0004908138,0.009809091,0.0038522417,0.006026958,0.0009854779,0.0020880601,0.0002049136,0.0076085823,0.0053434144,0.0037117887
MSFT,0.00076715345,0.0008376332,0.0003442521,0.0010995927,0.0036233186,0.00027229555,0.0008835283,0.0017476798,0.0003570566,0.0019375645,0.0017549015,0.0023914003,0.00084151037,0.007424123,0.00017909092,0.00029468496,0.0017779409,0.0005063537,0.00012621694,0.00012067218,0.0016505598
NVDA,6.4249136e-05,0.0017404956,0.00028658911,0.00035572326,0.0008920951,0.0002927319,0.0003893957,0.00024593016,0.0005290021,0.00014756103,0.002272674,0.0012410923,0.0009828655,0.00036589016,0.00024400685,0.001290811,0.0019128106,0.0007901907,0.00013371195,0.001550005,0.0003962688
AMZN,0.0025836588,0.0003151918,0.00048235906,0.00062542356,0.0008150731,0.00096905034,0.00010281397,0.0019543094,0.0010865696,0.00036196646,0.0005993606,0.00053993263,0.0006434049,0.00026245991,0.0009043642,0.0006358693,0.0011175668,0.00047635025,0.00027171758,0.0012203181,0.00029281602
GOOG,0.0019897432,0.00046943873,0.0007382411,0.001966074,0.0018301869,0.0014583912,0.0011730914,0.0015115453,0.0007349592,0.0015330616,0.0020349596,0.003576888,0.00030030435,0.008242923,0.00078472093,0.0024551386,0.002339157,0.0007399106,0.0010277667,0.0007277923,0.0018460791
META,0.00019583493,0.00074693677,0.00027025,0.0005756168,0.0010392243,0.0020056898,0.000234701,0.00026770064,0.0021158522,0.0013575581,0.00023280484,0.00024469255,0.00064862386,0.0009066595,0.00086863904,0.0006934516,0.0008915905,0.0018506915,0.00023469196,0.001359754,0.00026462058
BRK-B,0.0019170267,0.0004516373,0.00019131562,0.0010483448,0.000175328,0.0027291626,0.0027446426,0.0013279538,0.00096443214,0.00045765037,0.0033953919,0.0006138317,0.0036184725,0.0016107406,0.0004996149,0.0010271361,0.0008536112,0.0019285914,0.0013653119,0.0012989087,0.00015760424
GOOGL,0.0022190106,0.0022199478,0.001493988,0.0003025973,0.0025040887,0.0002520742,0.0036687024,0.0006011486,0.0021904372,0.0008427944,0.0043233545,0.006805557,0.00014636733,0.00034545816,0.0035258902,0.0007402541,0.00086732244,0.00012061155,0.00029526572,0.0007374696,0.00032367342
AVGO,0.0071755303,0.0015234816,0.0011273164,0.0012279403,0.00017994716,0.0028590898,0.0009862961,0.00073394674,0.00019985213,0.0026126313,0.00058206735,0.0009921609,0.003769996,0.0011897077,0.0005565409,0.0023997533,0.0018633896,0.0040656263,0.00013067418,0.0003922382,0.0008484236
TSLA,0.00018115592,0.0020373666,0.00096139155,0.0029056186,0.00068313535,0.00057098095,0.002801142,0.0014092209,0.0003850655,0.0003279958,0.003673413,0.00036089888,0.0007736188,0.00087017193,0.0005861676,0.0010398383,0.000110802896,0.0006051275,0.00072858494,0.0021683099,0.0023097417
