Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,862.2752,29.364523,23.561436,0.25464457273483276,128,5,200,1
MSFT,4305.295,65.614746,51.1225,0.1498226523399353,128,5,200,1
NVDA,210.25484,14.500167,11.578358,0.8867067098617554,128,5,200,1
AMZN,497.0243,22.29404,17.548782,0.5959419012069702,128,5,200,1
GOOG,1737.8907,41.688015,37.026104,-1.2872915267944336,128,5,200,1
META,20147.31,141.94122,108.91322,0.12795943021774292,128,5,200,1
BRK-B,7151.8784,84.56878,72.87176,-0.33857083320617676,128,5,200,1
GOOGL,2130.3076,46.155254,35.69087,-1.8690946102142334,128,5,200,1
AVGO,3600.5776,60.004814,48.633995,-0.22551429271697998,128,5,200,1
TSLA,13963.225,118.16609,84.410095,-2.4165656566619873,128,5,200,1
LLY,8959.152,94.6528,79.75502,0.8550337553024292,128,5,200,1
JPM,1297.2054,36.01674,30.98361,0.26446807384490967,128,5,200,1
WMT,205.28987,14.32794,11.105159,0.18583214282989502,128,5,200,1
V,5668.941,75.292366,62.19906,-2.4046967029571533,128,5,200,1
XOM,235.63281,15.350336,12.453515,0.5995483994483948,128,5,200,1
MA,6538.09,80.85845,54.0879,-0.3853195905685425,128,5,200,1
UNH,4500.0996,67.08278,55.466103,-0.10479283332824707,128,5,200,1
ORCL,1706.1582,41.305668,37.17945,-0.5266106128692627,128,5,200,1
NFLX,24866.139,157.69,123.237236,0.4236912131309509,128,5,200,1
COST,9984.607,99.923004,84.718216,0.7414721250534058,128,5,200,1
JNJ,180.8395,13.447658,10.2380495,-2.7001898288726807,128,5,200,1
PG,324.90686,18.025173,13.879131,-0.3137855529785156,128,5,200,1
ABBV,1851.2599,43.026268,32.55739,-1.0221948623657227,128,5,200,1
HD,3436.1958,58.619072,44.94229,-0.7302714586257935,128,5,200,1
BAC,15.452441,3.9309592,3.1879048,0.5245692729949951,128,5,200,1
