ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0021653147,0.0074031143,0.001974898,0.0011342404,0.0012528264,0.0014097389,0.00082171324,0.0010124766,0.0044444664,0.0006249712,0.0015286553,0.0026917034,0.00037686803,0.004149646,0.0013592502,0.0003704958,0.0010287205,0.0023758053,0.0014706645,0.0029161042,0.0015956277
MSFT,0.004437111,0.003073326,0.0037404266,0.00062004133,0.003950509,0.0014866347,0.0029847692,0.0034535278,0.02220654,0.002648424,0.001657088,0.0039396468,0.0014637064,0.00046959342,0.0017331877,0.0033989153,0.002875914,0.018280966,0.0027794999,0.00390731,0.000719828
NVDA,0.0011547318,0.001436777,0.0017846938,0.0009370497,0.00043121484,0.00026528657,0.00074244925,0.0020537958,0.00056543417,9.784672e-05,0.0021495488,0.0016490446,0.00018425433,0.00066398113,0.00072000385,0.0007875993,0.0008864666,0.0011307615,0.0020322015,0.000698008,0.00030483626
AMZN,0.0040756706,0.0004027001,0.0040701777,0.00045410078,0.0024437536,0.003105597,0.0010978462,0.0020771467,0.00031982068,0.0008485979,0.003936474,0.0011618993,0.00023429238,0.00014763945,0.0010268943,0.0012036929,0.0011115845,0.00086979003,0.0008358118,0.00018899165,9.798955e-05
GOOG,0.0006490083,0.0015234257,0.00077969336,0.0014943491,0.0013987161,0.0010718661,0.0051152236,0.0019413902,0.001546344,0.00034659402,0.0017083848,0.0015154543,0.0007863588,0.0010295279,0.00037020684,0.0010137474,0.0014976057,0.0004742096,0.0013816197,0.00035513163,0.00055499893
META,0.0018866898,0.0025710375,0.000500541,0.0014177591,0.0006605717,0.0012883319,0.0060414546,0.0012491386,0.0021064319,0.002917588,0.0019476039,0.00022307022,0.00061848835,0.0034126071,0.00010275066,0.0010300454,0.000944851,0.000329749,0.00032768984,0.0021701683,0.0010899239
BRK-B,0.0047940835,0.0010927545,0.00048501595,0.0013518898,0.000935898,0.0006971221,0.0021549365,0.0030644562,0.00051137374,0.0013976452,0.008956786,0.0025731,0.0045576943,0.0028869626,0.00013942366,0.00010460958,0.00030134944,0.0014882158,0.0014104282,0.0004372155,0.0006033656
GOOGL,2.9948803e-06,4.819367e-06,2.3791226e-06,4.491825e-06,5.7530633e-06,9.5376445e-06,4.348897e-06,1.1720221e-05,4.8831275e-06,1.496925e-06,9.316045e-06,8.3794475e-06,9.050784e-06,1.0317599e-05,6.3444077e-06,1.3354539e-05,2.6007424e-06,9.128705e-06,9.306677e-06,1.7794913e-06,9.514826e-06
AVGO,0.004123244,0.001647577,0.0012426574,0.0024853237,0.0028235016,0.0015304744,0.00055460364,0.0013029618,0.00066271244,0.0024065769,0.0032540662,0.00038965294,0.0019465429,0.0011058847,0.00058187335,0.0015588265,0.000452449,0.0010903566,0.00042114462,0.0024348705,0.0007147214
TSLA,0.0019285149,0.0010782521,0.001657055,0.0011470846,0.00049066066,0.0007428958,0.00077862234,0.00031226,0.00039305267,0.00046494577,0.0005823352,0.0003464374,0.002119851,0.0014644458,0.0009920824,0.0009054734,0.0003091635,0.0005504236,0.0017046077,0.0008497496,0.00010110664
LLY,0.0008234106,0.0007630829,0.00047964085,0.0009779185,0.0010681936,0.00078560424,0.00037536028,0.000474793,0.00036908034,0.0018074583,0.0020645433,0.0005436725,0.00071627874,0.00056127564,0.0003370713,0.0014953237,0.0012815832,0.00026343868,0.00029286896,0.00023939098,0.00056018855
JPM,0.00635571,0.003004484,0.003726322,0.0024120437,0.0008709085,0.001764871,0.0063715605,0.0035202913,0.0008694997,0.003357195,0.001788924,0.0022322037,0.0043305503,0.000728584,0.0002567113,0.00053313473,0.00036195287,0.0008560302,0.0008714415,0.0012715178,0.0024873165
WMT,0.003304095,0.00033175567,0.0024761478,0.00022922303,0.00041770507,0.00042641052,0.0009749141,0.0006165414,0.00021866472,0.0014291927,0.00062791834,0.0017469191,0.0020406945,0.00030377595,0.000548226,0.0009928683,0.002035313,0.0005298016,0.0017954782,0.0010516816,0.00085481064
V,0.013339901,0.0012884819,0.0005828233,0.00047301676,0.0013405096,0.0033995039,0.001954804,0.0026392674,0.0042952877,0.0033834227,0.0031927547,0.00025068724,0.0034946324,0.0015502317,0.0005454736,0.0016404189,0.0025594053,0.0015603674,0.0007998942,0.00041351048,0.00047900257
XOM,0.002824077,0.009316558,0.0026158264,0.0013348118,0.00092700997,0.0010132003,0.00058147556,0.0005088887,0.0018492253,0.0047532753,0.0038797476,0.001008225,0.00022166573,0.0031603158,0.0020302678,0.0022324244,0.0016717403,0.0036258579,0.0005104196,0.0014923649,0.00048472005
MA,0.0023278052,0.0003432529,0.00022042273,0.00018215578,0.0002013296,0.00027607614,8.042794e-05,0.0005157105,0.0011385821,0.00063914875,0.0015762944,0.0009428425,0.00070612185,6.4271466e-05,0.00042766228,0.0001577003,0.00022800086,0.0010396857,0.0006254856,0.00028890753,0.00059484725
UNH,0.0006333208,0.0011832839,0.00021718246,0.0011167822,0.0015551221,0.00093392114,0.0032775023,0.00095051905,0.00064814655,0.00088965445,0.00035942075,0.00023005827,0.00021273625,0.0014095955,0.0010578976,0.0007937826,0.0013973566,0.0050249216,0.004120735,0.0020721655,0.0011140542
ORCL,0.0003163032,0.0001924293,4.9482365e-05,8.7724e-05,0.00019298182,7.8630495e-05,0.00016577165,0.00035705935,0.00025139356,0.0002839303,7.207574e-05,0.00016577722,0.0025442138,0.0002904947,0.00017392648,0.00017060312,0.00022208554,0.000298815,5.940012e-05,0.00020510828,0.00019992745
NFLX,0.00044294412,0.0014696103,0.00026656865,0.0005129251,0.0009719395,0.00047460623,0.00040282315,0.0012478457,0.000752871,0.00019153122,0.0001967667,0.00020426152,0.00061746006,0.00044863165,0.0029119302,0.00022595283,0.00013353473,0.0003658668,0.00069184345,0.00060418656,0.00029068207
COST,0.0008374566,0.0008396827,0.00078913115,0.0019041711,0.00034617895,0.00036460173,0.0037071717,0.0009134403,0.0029987132,0.001052946,0.0014082512,0.002026518,0.0005117801,0.00078095996,0.0011904042,0.00045470553,0.0009908167,0.0014831821,0.005711419,0.00028745117,0.0008874276
JNJ,0.00043685627,0.0005304092,0.0021908856,0.0013489831,0.00052438787,0.0011641002,0.0030087368,0.0029490576,0.003538416,0.014798206,0.0055072014,0.0013312435,0.002287978,0.00033873136,0.0005004653,0.00060170837,0.003005722,0.00056048285,0.0008183874,0.0011845549,0.002032068
PG,0.00028086486,0.00253797,0.001236887,0.0002077361,0.0012162826,0.0016314159,0.0032371602,0.002314883,0.0012380442,0.00055103673,0.0014475925,0.0025742596,0.003174779,0.0058696275,0.0006058214,0.0007837077,0.00043650615,0.0011394193,0.00274294,0.00047770058,0.0005962159
ABBV,0.0016206908,0.0013090718,0.0010134069,0.0009229544,0.00072448293,0.00028489763,0.0018380751,0.00467748,0.00013694535,0.004923202,0.0019315233,0.0027873632,0.002990829,0.004121063,0.00012772362,0.0016697082,0.0002989151,0.000188163,0.00019482497,0.00047229684,0.0011357623
HD,0.0035176598,0.002553372,0.0030003225,0.00057989,0.008966956,0.0047631874,0.00061877735,0.0040437616,0.00078284723,0.0013756077,0.001944673,0.01168764,0.0014884691,0.0008265479,0.001222846,0.00052001706,0.00071502913,0.0017691745,0.0032927047,0.00062214414,0.0012150869
BAC,0.003109853,0.009511192,0.0069730887,0.0014181656,0.0032707267,0.0019166053,0.008148968,0.0043014893,0.005967684,0.0015775244,0.0058246073,0.0020504524,0.0014610165,0.0037859236,0.003796208,0.0043784506,0.0005643281,0.009142795,0.012595517,0.0021014288,0.001879594
