Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,254.7024,15.959398,13.132299,0.7798338532447815,128,30,50,4
MSFT,726.6071,26.95565,22.021248,0.8565150499343872,128,30,50,4
NVDA,123.7282,11.123318,7.7724094,0.9333305358886719,128,30,50,4
AMZN,292.8899,17.114027,12.97614,0.7618938684463501,128,30,50,4
GOOG,669.35187,25.871836,17.926342,0.11904537677764893,128,30,50,4
META,2726.1191,52.21225,37.994614,0.8820047974586487,128,30,50,4
BRK-B,475.38596,21.803347,17.672924,0.9110251069068909,128,30,50,4
GOOGL,485.32755,22.030151,12.734137,0.3463616967201233,128,30,50,4
AVGO,1412.3235,37.580894,17.941406,0.5192930698394775,128,30,50,4
TSLA,2818.335,53.087994,41.719894,0.31040090322494507,128,30,50,4
LLY,4653.0664,68.21339,48.9692,0.924709677696228,128,30,50,4
JPM,292.18863,17.093527,11.277314,0.8343253135681152,128,30,50,4
WMT,43.796658,6.617904,4.151175,0.8263049721717834,128,30,50,4
V,297.19455,17.239332,13.624341,0.8215085864067078,128,30,50,4
XOM,53.715233,7.3290677,5.7112403,0.9087123870849609,128,30,50,4
MA,793.14636,28.162855,23.193657,0.8319445848464966,128,30,50,4
UNH,1231.4757,35.09239,25.513203,0.6976677179336548,128,30,50,4
ORCL,299.06528,17.293505,11.94984,0.7324068546295166,128,30,50,4
NFLX,5368.614,73.27083,53.450363,0.8755745887756348,128,30,50,4
COST,2236.401,47.2906,35.827652,0.9420936703681946,128,30,50,4
JNJ,92.00544,9.591947,7.76147,-0.8825401067733765,128,30,50,4
PG,49.88609,7.0630083,5.778595,0.7982817888259888,128,30,50,4
ABBV,354.44162,18.82662,13.667708,0.6128312349319458,128,30,50,4
HD,909.1779,30.152576,23.192812,0.5421900749206543,128,30,50,4
BAC,7.7688484,2.7872653,2.2189627,0.7609730958938599,128,30,50,4
