Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,847.0217,29.103638,22.962845,0.2678298354148865,256,10,100,2
MSFT,3385.5796,58.185734,44.274296,0.33144110441207886,256,10,100,2
NVDA,824.0331,28.705976,19.837786,0.5559795498847961,256,10,100,2
AMZN,1168.005,34.176086,26.56474,0.05046510696411133,256,10,100,2
GOOG,369.73965,19.228615,15.947629,0.5133742094039917,256,10,100,2
META,28925.766,170.07576,127.20146,-0.2520003318786621,256,10,100,2
BRK-B,3447.3967,58.714535,42.743332,0.35477304458618164,256,10,100,2
GOOGL,657.7918,25.647451,22.055054,0.11408710479736328,256,10,100,2
AVGO,1091.4088,33.036476,29.031092,0.6285215616226196,256,10,100,2
TSLA,10864.481,104.23283,76.883865,-1.658355474472046,256,10,100,2
LLY,8638.171,92.94176,79.77427,0.8602274656295776,256,10,100,2
JPM,837.8988,28.946482,23.908756,0.5249007940292358,256,10,100,2
WMT,99.6991,9.984943,7.6576214,0.604599118232727,256,10,100,2
V,970.7434,31.156755,24.640173,0.41698336601257324,256,10,100,2
XOM,859.84015,29.32303,19.837536,-0.4612751007080078,256,10,100,2
MA,4225.4976,65.00383,52.427845,0.10468274354934692,256,10,100,2
UNH,3755.255,61.280136,47.89231,0.07806962728500366,256,10,100,2
ORCL,475.34036,21.802301,16.739216,0.5746821165084839,256,10,100,2
NFLX,11425.0625,106.888084,74.85312,0.7352076172828674,256,10,100,2
COST,22570.592,150.23512,111.798935,0.41558772325515747,256,10,100,2
JNJ,107.69959,10.377841,8.675245,-1.2036609649658203,256,10,100,2
PG,215.1232,14.667079,12.044758,0.1301330327987671,256,10,100,2
ABBV,1519.5315,38.981167,29.582258,-0.6598365306854248,256,10,100,2
HD,1859.3047,43.119656,33.540283,0.06376057863235474,256,10,100,2
BAC,11.419754,3.3793128,2.8116543,0.6486443281173706,256,10,100,2
