Feature,Mean Importance
close_t-0,0.4575866047921097
high_t-0,0.12653554647661303
low_t-0,0.11881849693153343
open_t-0,0.022896661422053693
low_t-1,0.019693184910659026
open_t-1,0.017056691900712927
close_t-1,0.015364824426741718
high_t-1,0.006500672710485814
open_t-2,0.006425637150158434
low_t-2,0.005280955427476748
high_t-35,0.0040204949657055055
low_t-4,0.0037902580564271203
high_t-12,0.0037297674090140936
high_t-6,0.003703541461460286
high_t-2,0.0035037737235235357
low_t-30,0.003501298646318275
open_t-30,0.003356863784406634
low_t-3,0.0032777330023501033
close_t-12,0.0032197003672206027
open_t-41,0.003190551486387064
close_t-30,0.003120648843430422
close_t-13,0.0028909965061129166
low_t-5,0.0027515902528415914
open_t-35,0.0026669500354254095
close_t-3,0.0026001546486441
close_t-49,0.0025304051322284104
high_t-38,0.00237841820951421
low_t-15,0.0023746453034765094
open_t-5,0.002358833534048351
high_t-42,0.0023267382845915917
low_t-40,0.0023208960251406515
high_t-5,0.002298450398486867
close_t-2,0.002283916455670112
open_t-38,0.0022654698616025332
close_t-44,0.002225389404681355
high_t-3,0.0022040918437658125
low_t-17,0.0021172434780575007
close_t-53,0.00209761240579848
high_t-7,0.0020940044270034404
open_t-3,0.0020566422680520237
low_t-52,0.0020168767438433254
open_t-29,0.0019829448197124177
high_t-30,0.001964639920165827
open_t-42,0.0019631896501258804
high_t-31,0.001924319925792381
low_t-48,0.0019142311431261673
high_t-50,0.0019017350584392433
close_t-5,0.0018355237296341794
high_t-4,0.0017966144928992678
open_t-12,0.0017094565698626476
close_t-55,0.0016085977160218868
high_t-11,0.0015653934031691743
high_t-13,0.001534004190451669
low_t-12,0.0015048312774024494
high_t-16,0.0014996617138246901
low_t-6,0.0014890849851733007
low_t-7,0.0014718973367991192
close_t-4,0.001468542196420679
open_t-4,0.0014328334480283303
close_t-31,0.001402851029204188
high_t-37,0.0013827176803702956
high_t-41,0.0013224476408316404
close_t-37,0.001321806964519571
open_t-40,0.0013102531055981359
high_t-23,0.0013088859375584758
high_t-24,0.0013083753626535305
open_t-47,0.0012911348342589887
close_t-6,0.0012864240334916678
open_t-11,0.0012604603088772046
close_t-17,0.0012009567654903117
low_t-50,0.0011895238358247886
low_t-9,0.0011606224912600236
high_t-51,0.0011571282151497191
open_t-8,0.0011524768141812827
low_t-51,0.001097347272292497
high_t-10,0.0010294503709038082
high_t-59,0.0010221657299217092
close_t-35,0.0010127916414773266
close_t-38,0.0010113338978259775
low_t-10,0.0010096835193002815
close_t-19,0.0010069337282392456
low_t-44,0.000987725569956497
close_t-52,0.0009827671855383428
low_t-36,0.0009781688898272483
low_t-11,0.0009766613105326423
low_t-41,0.0009744618397885767
open_t-39,0.0009685859798343738
high_t-28,0.0009484359085173208
close_t-18,0.0009016961622740018
close_t-16,0.0008988230947431997
high_t-14,0.0008784142055101451
close_t-7,0.000821509273040839
open_t-52,0.000809985776386783
open_t-6,0.0008059944080085242
close_t-10,0.0007874134138856481
close_t-11,0.000780821293075834
high_t-53,0.0007702154957389932
low_t-19,0.0007615879143878035
open_t-50,0.0007573249073026761
high_t-29,0.0007556512854989364
open_t-58,0.0007543066836103246
close_t-50,0.0007465020558660583
open_t-16,0.0007310514596767093
high_t-43,0.0007282234571701158
low_t-31,0.000727009805523603
high_t-52,0.000716406759357997
low_t-46,0.0007149670541742637
open_t-55,0.0007094830508144565
low_t-37,0.0007002986556627576
open_t-44,0.0006997077299423286
open_t-51,0.0006982351061880884
close_t-28,0.0006894049406038325
high_t-55,0.0006891958432842064
close_t-48,0.0006851659325595221
low_t-39,0.0006811869440798333
high_t-22,0.0006774475078339501
open_t-48,0.0006722686438961897
open_t-46,0.0006648551805569068
high_t-21,0.0006641937624921378
high_t-9,0.0006636248272399102
open_t-36,0.000662140049827517
close_t-39,0.0006459048180703566
high_t-25,0.000643348632906449
close_t-47,0.0006403592372509366
open_t-23,0.0006009663401555097
close_t-15,0.0005985578644448486
low_t-16,0.0005964095505225589
open_t-21,0.00059498601788289
low_t-57,0.0005670910805226599
low_t-53,0.0005655119100653337
close_t-25,0.0005127039272858948
close_t-54,0.0005080906034548762
open_t-17,0.0004823029816948053
low_t-8,0.00046279591153685956
open_t-53,0.00045497865095395944
high_t-57,0.00045274349657919646
open_t-7,0.0004510132984752504
high_t-39,0.00044795660888628395
high_t-32,0.00044657998135961565
close_t-51,0.0004446652676210947
low_t-25,0.00043192598903603156
open_t-25,0.00042953581878529037
close_t-42,0.0004220437495063748
high_t-40,0.00041571813687034495
open_t-54,0.0004112536513811041
open_t-57,0.0004096700283429597
high_t-19,0.0003953061935528289
low_t-18,0.0003888042085225337
close_t-27,0.0003879702024325833
high_t-26,0.0003866745099591766
low_t-32,0.00038023191957968917
close_t-36,0.0003780319491596013
low_t-47,0.0003744075006438181
low_t-45,0.00037207608084479575
close_t-29,0.00037127273864270014
open_t-10,0.00037048144185580426
low_t-24,0.00036990082352554403
low_t-38,0.00036861505109182807
low_t-43,0.0003644910332543131
low_t-14,0.00036294372918931284
close_t-24,0.00036218456676975796
high_t-36,0.00036140288594900733
low_t-23,0.0003607534121772653
low_t-21,0.0003498511116823199
close_t-8,0.0003498115074734446
open_t-24,0.00034910799208282136
low_t-56,0.0003475545690608422
open_t-37,0.0003465155951261137
open_t-13,0.0003458682254274794
close_t-14,0.00034135651505203495
high_t-49,0.0003397389464000762
low_t-33,0.0003372075907125194
open_t-31,0.0003299329408705167
high_t-17,0.0003279300297576599
high_t-15,0.00032543953322977214
close_t-32,0.00032527371056777986
low_t-29,0.0003245276173519656
close_t-26,0.0003213878148564483
high_t-56,0.0003188811439659996
open_t-19,0.0003173871078819348
low_t-20,0.0003092232153384825
close_t-59,0.00026564699123040724
high_t-58,0.00025502680264491705
close_t-9,0.0002362984582633812
close_t-58,0.0002316911349771743
high_t-33,0.00021339436333598784
high_t-54,0.000212330099528323
high_t-8,0.00020871163015179244
open_t-32,0.0001922979619285747
low_t-58,0.00018493329737704026
close_t-57,0.00015671580910896424
low_t-26,0.00015102251814408328
high_t-18,0.0001440745995737544
open_t-18,0.0001356724394947707
low_t-13,0.0001283904828899165
close_t-20,0.0001240636318144122
open_t-9,0.00012196559639778092
close_t-56,0.00010750732242440934
high_t-45,0.00010140054049501502
low_t-22,9.231479031041762e-05
low_t-59,8.940218016903907e-05
low_t-54,8.732256855506903e-05
close_t-33,8.61723316072457e-05
low_t-49,8.411236457857928e-05
low_t-55,8.316716574987959e-05
close_t-21,8.029253263314776e-05
high_t-48,7.290504343032126e-05
close_t-41,7.286765083190728e-05
close_t-22,6.911390830400722e-05
open_t-45,6.871418583872225e-05
low_t-27,6.535240265316735e-05
open_t-34,6.19646058870131e-05
high_t-20,6.0811324785209683e-05
open_t-56,5.9970474846577386e-05
close_t-34,5.7340005161641666e-05
open_t-59,5.6938631737600385e-05
open_t-14,5.6533898619584284e-05
low_t-42,5.4056192847374245e-05
close_t-40,5.085692093262287e-05
high_t-44,4.3509634544207394e-05
high_t-34,4.1551688832428356e-05
open_t-22,3.9237933984098744e-05
open_t-15,3.7660889950446075e-05
low_t-28,3.6712724233619294e-05
close_t-23,3.648857817055157e-05
open_t-49,3.4620845517175036e-05
open_t-27,3.342746912976951e-05
open_t-26,3.2987686444247847e-05
low_t-35,3.295429505816186e-05
open_t-33,3.1805362085635324e-05
open_t-20,3.0835901158511974e-05
close_t-45,3.075393255137275e-05
close_t-43,3.002755054034666e-05
close_t-46,2.4130388196277963e-05
open_t-43,2.3904459420543062e-05
low_t-34,2.3663881007812507e-05
high_t-27,2.1871306921834432e-05
high_t-47,1.6700482857015615e-05
high_t-46,1.6445356189133722e-05
volume_t-0,7.73415084078573e-06
volume_t-17,7.057764009356774e-06
volume_t-33,6.774286891054804e-06
volume_t-31,6.731137278530522e-06
volume_t-42,6.400610227543438e-06
open_t-28,6.299569587161257e-06
volume_t-59,6.262375740755319e-06
