ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0015590489,0.006508613,0.0023376094,0.004461534,0.002589383,0.004913424,0.0030610312,0.0020123094,0.007329514,0.0037314475,0.0026584088,0.010496677,0.0046784817,0.008836864,0.0048609357,0.002017771,0.0034934236,0.0035256976,0.002790454,0.0028205088,0.009792681
MSFT,0.0018404761,0.011258259,0.0016992296,0.002471841,0.002787227,0.008509012,0.003542243,0.0087742545,0.004881117,0.011189843,0.0016229886,0.013020677,0.0075206477,0.0051358715,0.00811212,0.0065067345,0.0024622472,0.0034120262,0.008111381,0.006503857,0.011395111
NVDA,0.003100034,0.0020679452,0.0030088201,0.0049534873,0.0044277012,0.0052966843,0.0015300952,0.0025784704,0.0017498692,0.0023528987,0.003842641,0.0034258575,0.0016685298,0.002193477,0.002967884,0.0028474992,0.0022709577,0.0016930207,0.0015036309,0.0035960418,0.0055202944
AMZN,0.0036210632,0.005593536,0.004711252,0.006986375,0.008517057,0.0030002238,0.008907842,0.0026885595,0.007675067,0.00539187,0.0050801337,0.012139572,0.0066154576,0.016306361,0.005729024,0.00319717,0.0074730506,0.0033019346,0.0078881495,0.0061881784,0.015877735
GOOG,0.0011719393,0.005359901,0.003530199,0.0013360959,0.0017838693,0.0028142785,0.0032145188,0.015555367,0.0043741306,0.0071173585,0.0052930587,0.013093359,0.003906757,0.0056067123,0.005550147,0.0041293562,0.0067753466,0.00672899,0.007019349,0.007468723,0.0011031759
META,0.0012080756,0.0074737384,0.0069215563,0.009989556,0.0028133355,0.0069682994,0.005071165,0.00410371,0.005319109,0.005557722,0.0005326931,0.0029960251,0.0012716302,0.001612267,0.0020510512,0.00071526953,0.0026435687,0.0036813335,0.0046305563,0.0019242933,0.00076012604
BRK-B,0.0009486901,0.0028826343,0.0022824993,0.007201471,0.009896721,0.00097038486,0.0026166253,0.0011002123,0.0027921705,0.0037184737,0.0011125822,0.0055466387,0.0076118493,0.0043839915,0.002371489,0.0056119543,0.0026809715,0.0017370406,0.0016064445,0.00091675547,0.0011467203
GOOGL,0.0056757717,0.002902173,0.0069911084,0.005945012,0.0058874,0.0018557298,0.0046758642,0.0009398013,0.0038447129,0.0064211283,0.008623168,0.010722486,0.007387596,0.0050214585,0.005971114,0.0034846433,0.0048597436,0.0038854668,0.0042783488,0.0062291236,0.004160369
AVGO,0.0074415435,0.0070239687,0.0037193538,0.0052319625,0.001856279,0.008903095,0.005752517,0.002276173,0.0022194472,0.0034842524,0.004777281,0.0016923287,0.0033833466,0.0028602306,0.0058666286,0.002181248,0.0039027964,0.0020130756,0.005149776,0.005370457,0.003980543
TSLA,0.002072668,0.0034992741,0.0025489724,0.004797214,0.0012094852,0.0013994386,0.0021726198,0.0006626574,0.001470268,0.0018463465,0.0021339916,0.0017509244,0.0022611574,0.0011902433,0.0015316645,0.0026489857,0.0024996311,0.005630308,0.0013173574,0.0010211483,0.003481782
