ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0041991407,0.004431775,0.006537406,0.0018199902,0.002222311,0.0015513194,0.0056924094,0.006503693,0.009126712,0.00085550157,0.008378178,0.0011266528,0.0022683633,0.010170324,0.0010854378,0.0012748379,0.0018001348,0.00068308593,0.0039388537,0.001273792,0.00095198303
MSFT,0.0016017223,0.0036023087,0.002207497,0.002355378,0.0009585705,0.004086422,0.001450404,0.0035588637,0.001334945,0.0011132559,0.0016809284,0.0013233685,0.0022241923,0.0065039815,0.001411273,0.0015323221,0.0021084002,0.0026554547,0.0011178744,0.00094615784,0.003339061
NVDA,0.001485143,0.0032353997,0.005454344,0.007054669,0.0034913716,0.0017841808,0.0014188153,0.0028551104,0.0019375879,0.009817389,0.001419115,0.008548075,0.0031384074,0.0016255496,0.004763304,0.0012934838,0.003960316,0.001820857,0.001959736,0.003889485,0.0019045096
AMZN,0.007277452,0.0016858466,0.0051674265,0.0014735453,0.0043292255,0.0011936764,0.0035033121,0.0052164393,0.002490451,0.0025434792,0.0008986591,0.005599427,0.0011992314,0.001240065,0.0013676897,0.0053261947,0.0027813301,0.0015582036,0.0020959727,0.001190692,0.002947148
GOOG,0.0038395175,0.0036533747,0.0012859135,0.0022069642,0.0059475093,0.0051597995,0.0015893921,0.0030484344,0.0012996506,0.004032801,0.0021831826,0.0023029905,0.0097711,0.010164517,0.0012550738,0.0040864763,0.0011780341,0.0016788301,0.0021496655,0.0043273694,0.00086190493
META,0.00426215,0.0042450037,0.006848446,0.0045882734,0.0023333824,0.0025225715,0.0023203408,0.005318679,0.0041374373,0.0008446727,0.0032704736,0.0020704267,0.0038449096,0.005724245,0.0020790135,0.004958943,0.004340521,0.0029636617,0.004389763,0.0022167924,0.0054006972
BRK-B,0.0058955443,0.011267708,0.0072923535,0.009029582,0.012311023,0.002158863,0.008257478,0.0037921637,0.010918963,0.0018380311,0.0018360582,0.009726496,0.00371518,0.0060763075,0.0051148715,0.0025154836,0.008517731,0.0030068571,0.010280923,0.005824284,0.0052737016
GOOGL,0.0014728641,0.0023085459,0.0017120301,0.0021961883,0.0066467696,0.0017538139,0.00267023,0.005140527,0.007600271,0.0018128244,0.0023312243,0.0012246202,0.0008132151,0.0059471917,0.0015860103,0.0024681925,0.0020764114,0.002760977,0.0029120254,0.0010462818,0.0006571932
AVGO,0.0023606375,0.007412471,0.008600269,0.010779319,0.0034386425,0.0021941287,0.0017081194,0.007335451,0.0025516052,0.009832073,0.00883299,0.0064145643,0.002973981,0.0074305134,0.0031604494,0.00665472,0.0017625011,0.00805373,0.0063720387,0.010205129,0.003247198
TSLA,0.0033525066,0.004174222,0.0100696115,0.0033263282,0.006430385,0.009329828,0.004585566,0.010094091,0.0038998483,0.0030425696,0.0065344903,0.0020255973,0.00264461,0.0035930723,0.0073877065,0.005737987,0.007991689,0.005084691,0.008802696,0.0075392216,0.0036683953
LLY,0.0059299576,0.005220237,0.0026243357,0.00074410444,0.0015375089,0.0008692818,0.005195412,0.0046649845,0.0013926247,0.003666236,0.0030665998,0.0025997949,0.005256305,0.0010131409,0.0041196104,0.003730494,0.005047516,0.0010032307,0.002808178,0.004903563,0.002682451
JPM,0.000873699,0.007623335,0.0023566845,0.0013857683,0.0035577407,0.002374559,0.007379736,0.0034574694,0.0022125249,0.008352804,0.0013814291,0.007978861,0.008165491,0.007283362,0.008201067,0.0015177281,0.0020394109,0.0035014607,0.008914485,0.0051460518,0.0019776935
