Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,1148.6992,33.892464,28.02428,0.007058143615722656,256,10,100,2
MSFT,3195.1323,56.5255,46.77538,0.3690492510795593,256,10,100,2
NVDA,676.54016,26.010386,17.891073,0.6354543566703796,256,10,100,2
AMZN,961.2609,31.004208,24.692356,0.21853864192962646,256,10,100,2
GOOG,1078.0579,32.83379,25.026344,-0.4188650846481323,256,10,100,2
META,14971.923,122.35981,97.40374,0.351966917514801,256,10,100,2
BRK-B,2248.262,47.41584,39.749947,0.5792073011398315,256,10,100,2
GOOGL,947.64984,30.783922,22.506126,-0.27629315853118896,256,10,100,2
AVGO,2052.5588,45.305176,31.182411,0.3013787269592285,256,10,100,2
TSLA,6139.7285,78.35642,57.84005,-0.5022879838943481,256,10,100,2
LLY,29021.281,170.35634,115.791046,0.530412495136261,256,10,100,2
JPM,1708.0679,41.328777,32.670845,0.031503915786743164,256,10,100,2
WMT,145.82346,12.075738,9.531052,0.4216725826263428,256,10,100,2
V,1274.817,35.70458,29.242788,0.2343604564666748,256,10,100,2
XOM,135.77722,11.6523485,9.945266,0.7692502737045288,256,10,100,2
MA,3722.103,61.00904,51.142834,0.21134430170059204,256,10,100,2
UNH,3953.4016,62.87608,49.156376,0.029423773288726807,256,10,100,2
ORCL,1280.2395,35.780434,25.066734,-0.1455134153366089,256,10,100,2
NFLX,23921.79,154.6667,100.12437,0.44557785987854004,256,10,100,2
COST,37882.77,194.63496,165.2975,0.019114911556243896,256,10,100,2
JNJ,395.8467,19.895897,16.333897,-7.099492073059082,256,10,100,2
PG,381.5428,19.533121,16.44899,-0.5427972078323364,256,10,100,2
ABBV,742.4508,27.24795,21.599487,0.18899542093276978,256,10,100,2
HD,2841.3052,53.303894,39.293797,-0.43071866035461426,256,10,100,2
BAC,36.13051,6.0108657,4.860592,-0.11164021492004395,256,10,100,2
