2025-05-01 01:23:20,932 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.027811
2025-05-01 01:23:20,934 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:21,024 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.046213
2025-05-01 01:23:21,025 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:22,144 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.019939
2025-05-01 01:23:22,144 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:22,300 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.007127
2025-05-01 01:23:22,301 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:23,352 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.012218
2025-05-01 01:23:23,353 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:23,575 - MainProcess - INFO - Finished epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.010177
2025-05-01 01:23:23,576 - MainProcess - INFO - Starting epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 400)
2025-05-01 01:23:24,566 - MainProcess - INFO - Finished epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.006070
2025-05-01 01:23:24,797 - MainProcess - INFO - Finished epoch 5 for MSFT (Hyperparameter Set 1, walk-forward step 400) - Loss: 0.008689
2025-05-01 01:23:30,482 - MainProcess - INFO - Starting epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:30,898 - MainProcess - INFO - Starting epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:34,252 - MainProcess - INFO - Finished epoch 1 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.030681
2025-05-01 01:23:34,253 - MainProcess - INFO - Starting epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:34,281 - MainProcess - INFO - Finished epoch 1 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.025871
2025-05-01 01:23:34,282 - MainProcess - INFO - Starting epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:35,603 - MainProcess - INFO - Finished epoch 2 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.006577
2025-05-01 01:23:35,604 - MainProcess - INFO - Starting epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:35,633 - MainProcess - INFO - Finished epoch 2 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.002013
2025-05-01 01:23:35,634 - MainProcess - INFO - Starting epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:36,969 - MainProcess - INFO - Finished epoch 3 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.004341
2025-05-01 01:23:36,970 - MainProcess - INFO - Starting epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:37,000 - MainProcess - INFO - Finished epoch 3 for MSFT (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.002011
2025-05-01 01:23:37,001 - MainProcess - INFO - Starting epoch 4 for MSFT (Hyperparameter Set 1, walk-forward step 600)
2025-05-01 01:23:38,277 - MainProcess - INFO - Finished epoch 4 for AAPL (Hyperparameter Set 1, walk-forward step 600) - Loss: 0.001122
2025-05-01 01:23:38,278 - MainProcess - INFO - Starting epoch 5 for AAPL (Hyperparameter Set 1, walk-forward step 600)
