Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,634.3746,25.186794,18.317581,0.45164310932159424,128,30,50,4
MSFT,1568.8096,39.6082,31.93865,0.6902032494544983,128,30,50,4
NVDA,375.98166,19.390247,12.803576,0.7974067330360413,128,30,50,4
AMZN,624.0629,24.98125,19.03629,0.49266523122787476,128,30,50,4
GOOG,368.98892,19.209084,14.446076,0.5143622756004333,128,30,50,4
META,8106.738,90.03742,63.641624,0.6491142511367798,128,30,50,4
BRK-B,1575.7719,39.69599,30.62638,0.7050729990005493,128,30,50,4
GOOGL,695.9499,26.380861,18.279362,0.06269592046737671,128,30,50,4
AVGO,496.17163,22.27491,15.424243,0.8311200141906738,128,30,50,4
TSLA,3223.3594,56.774635,44.231068,0.21129828691482544,128,30,50,4
LLY,8761.139,93.60095,65.1584,0.8582378029823303,128,30,50,4
JPM,665.8574,25.804213,17.985012,0.6224504113197327,128,30,50,4
WMT,113.79639,10.667539,6.7149935,0.5486900806427002,128,30,50,4
V,850.0346,29.155354,23.67497,0.48947960138320923,128,30,50,4
XOM,278.17914,16.678703,13.684746,0.5272420644760132,128,30,50,4
MA,1928.8229,43.918365,33.927895,0.5913124084472656,128,30,50,4
UNH,2822.591,53.128063,44.845905,0.3070424199104309,128,30,50,4
ORCL,368.77713,19.203571,13.607701,0.6700311899185181,128,30,50,4
NFLX,6538.702,80.86224,60.696224,0.848456084728241,128,30,50,4
COST,4290.377,65.50097,49.885437,0.8889108300209045,128,30,50,4
JNJ,198.00774,14.071522,10.977077,-3.0514721870422363,128,30,50,4
PG,154.0287,12.41083,9.674328,0.3771733045578003,128,30,50,4
ABBV,177.36609,13.317886,10.656459,0.806256890296936,128,30,50,4
HD,1411.9945,37.576515,30.025352,0.28900039196014404,128,30,50,4
BAC,10.597768,3.2554214,2.6106298,0.6739346981048584,128,30,50,4
