ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.0020617165,0.0024179665,0.006124755,0.0040062326,0.0035477134,0.00786236,0.009111482,0.002526068,0.007706677,0.004190285,0.0029400487,0.0027896196,0.007240863,0.005755598,0.002923519,0.008707328,0.004015832,0.0044001658,0.0012031929,0.0017264636,0.0031403569
MSFT,0.006224188,0.009856552,0.004593778,0.009742068,0.011999822,0.009837134,0.005704756,0.0043507414,0.018824724,0.009528579,0.012754467,0.0036724112,0.009811587,0.0052863946,0.0023456016,0.003439039,0.024517829,0.0038250408,0.013978773,0.0021644353,0.008320031
NVDA,0.0010851847,0.0012939496,0.005918818,0.0004776845,0.004069896,0.0045694984,0.0011040275,0.0036956358,0.001422634,0.004581494,0.0027624443,0.0045322124,0.00042272804,0.0061659343,0.0053215506,0.003426151,0.0052588717,0.0041169445,0.00322027,0.0030103207,0.0050897948
AMZN,0.0038647724,0.0043958644,0.011582884,0.0030928848,0.007450402,0.0033508881,0.0017019536,0.005860979,0.009035351,0.0023216233,0.009019372,0.0021646272,0.0073771244,0.0036325378,0.0035202405,0.014955682,0.0041344273,0.00498321,0.0025980717,0.0011087666,0.0025953727
GOOG,0.0075660823,0.0062663853,0.004108868,0.0038572042,0.0027685538,0.0045812977,0.0035646372,0.006749739,0.0066329027,0.011951284,0.005307782,0.012830456,0.004426336,0.006888198,0.0034434993,0.0030698641,0.007988696,0.004124972,0.010879992,0.011365575,0.002122914
META,0.0035070996,0.0014984349,0.003674067,0.0028545416,0.0029811347,0.0063767666,0.0074659465,0.0022813554,0.0026410138,0.0007579251,0.0074360366,0.0027482251,0.005037881,0.0018716466,0.0042507523,0.004508373,0.003610835,0.0019269543,0.0029643893,0.008010816,0.003262133
BRK-B,0.00030605408,0.0011889538,0.0014050805,0.00085653627,0.0014089115,0.0018730613,0.001814032,0.0012033345,0.0009050883,0.00085844524,0.002723167,0.002375506,0.0016109601,0.0014229413,0.0027621498,0.000889984,0.00046642317,0.001676359,0.0012796152,0.0005359991,0.0017639885
GOOGL,0.0072500217,0.0031948911,0.002037099,0.0019286185,0.002915634,0.008552381,0.0037648464,0.0021070517,0.0037585613,0.0020506508,0.0017288228,0.0016146444,0.0008687337,0.0027194666,0.0046906765,0.0025150552,0.008740713,0.0050214618,0.0082907565,0.0017611322,0.004326097
AVGO,0.0027060949,0.0012173261,0.0062971287,0.0070470627,0.0032515244,0.0037790681,0.0023617155,0.0016106006,0.007344004,0.0011759697,0.0066822,0.0025769786,0.0011884712,0.0021463258,0.0053095063,0.0014613302,0.002873925,0.0009559402,0.0012101156,0.0035438915,0.000864361
TSLA,0.006772374,0.004526673,0.0155546805,0.013326857,0.008384666,0.0074793766,0.006203627,0.007801904,0.0121557955,0.015821194,0.004785256,0.0062013767,0.019346286,0.008390325,0.0063099274,0.014508862,0.003190854,0.018403998,0.01096517,0.024895875,0.005677856
