Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,444.8006,21.090296,15.714216,0.6155118942260742,64,40,25,5
MSFT,1425.6425,37.75768,28.785965,0.7184748649597168,64,40,25,5
NVDA,180.84915,13.448016,8.419855,0.9025515913963318,64,40,25,5
AMZN,458.0347,21.401745,17.24203,0.6276386380195618,64,40,25,5
GOOG,424.6526,20.6071,15.404513,0.441101610660553,64,40,25,5
META,3066.0564,55.371983,43.73494,0.8672912120819092,64,40,25,5
BRK-B,1256.1177,35.44175,28.231941,0.7649005651473999,64,40,25,5
GOOGL,397.9083,19.94764,14.883286,0.464097797870636,64,40,25,5
AVGO,432.32877,20.792517,12.892367,0.8528499603271484,64,40,25,5
TSLA,3257.1838,57.071743,41.263367,0.2030220627784729,64,40,25,5
LLY,5032.1665,70.93777,49.155624,0.9185755252838135,64,40,25,5
JPM,392.4296,19.809835,14.841371,0.7774874567985535,64,40,25,5
WMT,49.139526,7.009959,4.9895306,0.8051154613494873,64,40,25,5
V,626.177,25.02353,18.026443,0.6239257454872131,64,40,25,5
XOM,78.59835,8.865571,6.981334,0.8664242029190063,64,40,25,5
MA,2157.0652,46.444218,34.674923,0.5429514646530151,64,40,25,5
UNH,2124.8975,46.09661,35.29364,0.47832900285720825,64,40,25,5
ORCL,222.18901,14.906006,10.492725,0.8011930584907532,64,40,25,5
NFLX,7524.769,86.74543,62.00674,0.8256025314331055,64,40,25,5
COST,5912.739,76.89433,56.840553,0.8469035625457764,64,40,25,5
JNJ,134.67566,11.604984,9.158223,-1.7556231021881104,64,40,25,5
PG,160.64182,12.674456,9.946911,0.35043269395828247,64,40,25,5
ABBV,281.01022,16.76336,12.395663,0.6930428743362427,64,40,25,5
HD,1438.9629,37.933666,30.155315,0.2754206657409668,64,40,25,5
BAC,13.90449,3.7288725,3.0062814,0.5721955895423889,64,40,25,5
