ticker,Close,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ATR_14,OBV,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Volume_Lag_1,Volume_Lag_3,Daily_Return,Volatility_20,High_Low_Range,Open_Close_Range,MACD_Hist_Slope
AAPL,0.009428936,0.0058539915,0.0012201071,0.020211292,0.007885526,0.0038482875,0.0027641691,0.005518441,0.0050916937,0.009893419,0.0054043545,0.009804604,0.008800292,0.009989812,0.0078095943,0.002729488,0.005300741,0.0018483097,0.009440695,0.0019369969,0.00881987
MSFT,0.06075589,0.10349136,0.032408237,0.079851754,0.12388735,0.104090855,0.07321355,0.045270707,0.06894801,0.11155025,0.13135082,0.09050433,0.0954264,0.11264326,0.071606256,0.079156436,0.07299299,0.038332283,0.08363898,0.04515751,0.09975757
NVDA,0.012426962,0.004873245,0.0091891885,0.0034743072,0.002791314,0.002775937,0.0062145195,0.003047389,0.0031038427,0.008385872,0.0017254547,0.003046407,0.0046221195,0.0023869914,0.004184009,0.0019019808,0.0046524564,0.0060454938,0.00935,0.0067306543,0.008491165
AMZN,0.016594721,0.018610148,0.04296539,0.025512481,0.028667318,0.037741546,0.03911839,0.033595823,0.023111615,0.030266399,0.024607722,0.019799465,0.011450332,0.018818675,0.018764883,0.024729947,0.040646832,0.019725177,0.019308385,0.024264032,0.028224276
GOOG,0.02170204,0.004694667,0.008901047,0.0042897803,0.006226948,0.0077524465,0.0058960235,0.0067508747,0.012519341,0.004564827,0.004167356,0.009980765,0.0049560457,0.02178462,0.016640602,0.026217718,0.020280369,0.01396705,0.0070495713,0.013192436,0.019561406
META,0.0031412283,0.0035375871,0.004493961,0.0013708379,0.0025585222,0.0048983907,0.0062744333,0.011963829,0.010045526,0.0063941344,0.008156303,0.002247972,0.0033198646,0.011518967,0.002159358,0.003489597,0.001290677,0.0049528186,0.0015463971,0.015101929,0.005660498
BRK-B,0.0020055259,0.0026795592,0.008185582,0.0037371987,0.0024438777,0.0038676227,0.0092066405,0.009197184,0.0047410876,0.010863399,0.0068181804,0.0031703932,0.0020408342,0.0057824124,0.0019849967,0.006024672,0.0024625522,0.009493446,0.0020971235,0.0041496363,0.012652035
GOOGL,0.012409849,0.006149186,0.0025380263,0.001729193,0.019297171,0.014027393,0.0057868445,0.023319496,0.01397891,0.00274054,0.008595484,0.005114919,0.0043283245,0.002221903,0.0138693955,0.0027792528,0.00844284,0.007947727,0.0028720915,0.016713265,0.015674748
AVGO,0.0054681874,0.0028121015,0.0071068415,0.0082173785,0.0036117875,0.0027998334,0.0036799428,0.004571476,0.00479726,0.0052890414,0.0032167856,0.0054130554,0.006323901,0.0056533613,0.007865607,0.0027945235,0.0020778489,0.0036321671,0.0020193139,0.002033716,0.00798082
TSLA,0.0064613433,0.019676637,0.023517987,0.0047809673,0.008794743,0.003030399,0.0044661225,0.010649025,0.010575109,0.013946426,0.016427983,0.012825353,0.0133598,0.012696866,0.019867636,0.018171975,0.025072835,0.0103644375,0.009628084,0.011720465,0.013975125
LLY,0.008230412,0.0038587302,0.0063408418,0.0020623405,0.003229172,0.0029430653,0.0015969222,0.0030623623,0.0027857104,0.008055158,0.0024698603,0.0029390275,0.0040241387,0.0026125214,0.002446618,0.0108042825,0.005704329,0.0018173194,0.0015921859,0.003127609,0.00815661
JPM,0.025532685,0.047292184,0.022833072,0.028633868,0.022924548,0.044247318,0.013913976,0.021619609,0.017578365,0.02166188,0.023111966,0.03165001,0.016624,0.018897092,0.01800991,0.02720827,0.015108683,0.03457379,0.019474674,0.02878704,0.042190306
WMT,0.0031720994,0.007230484,0.004159536,0.0041950513,0.0053949887,0.009097607,0.0036631008,0.0022736308,0.0036993464,0.0031016984,0.008217118,0.013529066,0.0039862185,0.0037128346,0.0031806948,0.004203663,0.0027578112,0.006147764,0.006962999,0.003259246,0.005570774
V,0.025530046,0.016613774,0.009989608,0.018704083,0.029909473,0.01659728,0.020299746,0.016745934,0.020786721,0.017299,0.0070199943,0.016208228,0.017359884,0.01923803,0.0077129174,0.017806657,0.02706917,0.023004066,0.021035032,0.016150804,0.016486976
