Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,1699.9875,41.230904,28.570528,-0.4694784879684448,256,15,50,3
MSFT,3843.298,61.99434,52.436344,0.24105435609817505,256,15,50,3
NVDA,519.0083,22.781754,17.630095,0.7203385233879089,256,15,50,3
AMZN,1196.2778,34.58725,25.706518,0.02748054265975952,256,15,50,3
GOOG,839.92694,28.981493,21.04988,-0.1054537296295166,256,15,50,3
META,9027.216,95.01166,70.810104,0.6092729568481445,256,15,50,3
BRK-B,2640.5906,51.386677,42.194283,0.5057777166366577,256,15,50,3
GOOGL,642.73004,25.352121,20.797546,0.1343722939491272,256,15,50,3
AVGO,559.3251,23.650055,18.41103,0.8096247315406799,256,15,50,3
TSLA,5580.11,74.700134,55.19136,-0.365358829498291,256,15,50,3
LLY,11934.67,109.24592,85.22419,0.8068875074386597,256,15,50,3
JPM,1016.97046,31.889975,22.795734,0.42336487770080566,256,15,50,3
WMT,193.63135,13.915148,9.808996,0.232069194316864,256,15,50,3
V,802.9658,28.33665,22.347542,0.5177485346794128,256,15,50,3
XOM,165.1381,12.850607,10.752766,0.7193522453308105,256,15,50,3
MA,2556.4534,50.561382,39.089924,0.4583272933959961,256,15,50,3
UNH,4575.2627,67.640686,56.25665,-0.12324559688568115,256,15,50,3
ORCL,714.65015,26.73294,18.552582,0.36055606603622437,256,15,50,3
NFLX,19814.52,140.76405,103.87659,0.5407698154449463,256,15,50,3
COST,12037.298,109.71462,83.62926,0.6883225440979004,256,15,50,3
JNJ,419.68063,20.486109,16.414907,-7.587162017822266,256,15,50,3
PG,260.08316,16.127094,14.121091,-0.0516660213470459,256,15,50,3
ABBV,556.3059,23.586138,17.443098,0.3923279047012329,256,15,50,3
HD,1928.5299,43.91503,36.147743,0.028902709484100342,256,15,50,3
BAC,21.272673,4.612231,3.8357418,0.34549611806869507,256,15,50,3
